category,country,first_issuance_at,first_retirement_at,is_compliance,issued,listed_at,name,project_id,project_type,project_type_source,project_url,proponent,protocol,registry,retired,status
forest,Mexico,2022-08-05 00:00:00+00:00,2024-08-07 00:00:00+00:00,FALSE,6007,2021-07-21 00:00:00+00:00,Proyecto forestal de carbono del Ejido Pioneros de RÃ­o Xhon - Ha,CAR1505,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1505,Pioneros de Rio Xhon-Ha,['car-forest-mx'],climate-action-reserve,2960,registered
forest,Mexico,2022-08-05 00:00:00+00:00,2024-08-07 00:00:00+00:00,FALSE,2067,2021-07-21 00:00:00+00:00,Proyecto forestal de carbono del Ejido LÃ¡zaro CÃ¡rdenas NÃºmero 2,CAR1506,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1506,Ejido Lazaro Cardenas Numero 2,['car-forest-mx'],climate-action-reserve,1300,registered
forest,Mexico,2022-08-05 00:00:00+00:00,2023-12-19 00:00:00+00:00,FALSE,43872,2021-07-21 00:00:00+00:00,Proyecto forestal de carbono del Ejido Xbonil,CAR1507,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1507,Ejido Xbonil,['car-forest-mx'],climate-action-reserve,9637,registered
forest,Mexico,2022-09-30 00:00:00+00:00,2024-05-30 00:00:00+00:00,FALSE,23196,2021-08-04 00:00:00+00:00,Bonos Comunitarios CO2-El Naranjal,CAR1508,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1508,Ejido El Naranjal,['car-forest-mx'],climate-action-reserve,7490,registered
forest,Mexico,2022-09-30 00:00:00+00:00,2025-02-11 00:00:00+00:00,FALSE,31869,2021-08-04 00:00:00+00:00,Bonos Comunitarios CO2-Candelaria II,CAR1509,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1509,Ejido Candelaria II,['car-forest-mx'],climate-action-reserve,199,registered
forest,Mexico,2022-09-30 00:00:00+00:00,,FALSE,26894,2021-08-04 00:00:00+00:00,Bonos Comunitarios CO2-San Antonio Tuk,CAR1510,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1510,EJIDO SAN ANTONIO TUK,['car-forest-mx'],climate-action-reserve,0,registered
forest,Mexico,2022-09-30 00:00:00+00:00,,FALSE,2301,2021-08-04 00:00:00+00:00,Bonos Comunitarios CO2_San Felipe Oriente,CAR1511,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1511,Ejido San Felipe Oriente,['car-forest-mx'],climate-action-reserve,0,registered
forest,Mexico,2022-05-16 00:00:00+00:00,2022-07-27 00:00:00+00:00,FALSE,102883,2021-09-02 00:00:00+00:00,Carbono Petcacab,CAR1514,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1514,Ejido Petcacab y PolinkÃ­n,['car-forest-mx'],climate-action-reserve,33294,registered
forest,Mexico,2023-02-02 00:00:00+00:00,2023-12-22 00:00:00+00:00,FALSE,14459,2022-02-16 00:00:00+00:00,Captura de carbono forestal en el ejido San Francisco Oxtotilpan,CAR1521,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1521,Ejido San Francisco Oxtotilpan,['car-forest-mx'],climate-action-reserve,13341,registered
forest,Mexico,2023-02-02 00:00:00+00:00,2023-07-03 00:00:00+00:00,FALSE,3063,2022-02-16 00:00:00+00:00,Captura de carbono forestal en el ejido Amanalco de Becerra,CAR1522,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1522,Ejido Amanalco de Becerra,['car-forest-mx'],climate-action-reserve,2827,registered
forest,Mexico,2023-02-02 00:00:00+00:00,2023-07-03 00:00:00+00:00,FALSE,3197,2022-02-16 00:00:00+00:00,Captura de carbono forestal en el ejido San Miguel Tenextepec,CAR1523,Improved Forest Management,berkeley,https://thereserve2.apx.com/mymodule/reg/prjView.asp?id1=1523,Ejido San Miguel Tenextepec,['car-forest-mx'],climate-action-reserve,2951,registered
